used,total,time,success
70,70,47.915239095687866,True
70,70,45.93087887763977,True
70,70,48.24239110946655,True
70,70,48.28757119178772,False
70,70,46.77402687072754,True
70,70,50.709126234054565,True
70,70,46.33705139160156,True
70,70,48.689804792404175,True
66,70,46.96264362335205,True
70,70,47.81954002380371,True
80,80,52.115527868270874,True
80,80,46.9925172328949,True
80,80,50.127310276031494,False
80,80,49.71328115463257,False
80,80,49.067360162734985,True
76,80,49.75542235374451,True
80,80,46.30565571784973,True
80,80,51.74001932144165,False
80,80,49.083669662475586,False
80,80,50.33038663864136,False
28,28,34.90990400314331,True
28,28,31.95826554298401,True
28,28,33.431206703186035,False
28,28,34.430277585983276,True
28,28,33.36324977874756,True
28,28,32.28732085227966,True
28,28,33.25958824157715,True
28,28,34.2875018119812,False
28,28,32.208704710006714,True
28,28,32.084335803985596,True
72,80,50.58324646949768,True
80,80,48.63259315490723,True
80,80,51.64569878578186,False
80,80,51.409645557403564,True
72,80,49.58528780937195,True
80,80,50.006452560424805,True
80,80,48.13128328323364,False
80,80,52.13217520713806,False
80,80,50.078081369400024,True
80,80,49.95198464393616,False
44,44,37.25165343284607,True
44,44,36.4280219078064,False
44,44,38.343037128448486,False
40,44,38.96743297576904,False
44,44,38.36814260482788,True
44,44,38.77008032798767,False
44,44,37.6266086101532,False
44,44,34.86203598976135,True
32,44,35.05087757110596,True
44,44,38.983074426651,True
24,24,28.07034945487976,True
24,24,27.586390256881714,True
24,24,26.274925231933594,True
24,24,28.27347683906555,True
24,24,27.790271043777466,True
24,24,26.947746992111206,True
24,24,28.80345129966736,True
24,24,28.336859941482544,True
24,24,27.555200338363647,True
24,24,27.908122539520264,True
54,54,40.378398418426514,False
54,54,42.86985659599304,False
54,54,41.43920016288757,False
54,54,40.77021145820618,False
54,54,45.69117712974548,False
54,54,47.37180995941162,False
54,54,45.988016843795776,False
54,54,44.92503213882446,False
54,54,43.742013692855835,False
54,54,46.03744292259216,False
54,54,49.8933539390564,False
44,54,46.968427419662476,True
54,54,48.7713360786438,True
54,54,48.636950731277466,False
48,54,50.844122648239136,True
54,54,50.42066264152527,True
48,54,53.16002345085144,True
54,54,49.42354464530945,False
